name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
G1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G5	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G6	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G7	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G8	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G9	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G10	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G13	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G14	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G15	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G16	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G17	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G18	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G19	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G20	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G21	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G22	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G23	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G11	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G12	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G24	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G25	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G26	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G27	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G28	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G29	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G30	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G31	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
G32	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ATT1	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ATT2	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ATT3	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
ATT4	ECOG	V	0.0	500.0	Electrocorticography	1000.0	good
DC01	ECOG	V	0.0	500.0	Electrocorticography	1000.0	bad
DC09	ECOG	V	0.0	500.0	Electrocorticography	1000.0	bad
DC10	ECOG	V	0.0	500.0	Electrocorticography	1000.0	bad
DC11	ECOG	V	0.0	500.0	Electrocorticography	1000.0	bad
DC12	ECOG	V	0.0	500.0	Electrocorticography	1000.0	bad
