name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
EEG Fp1-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG Fp2-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG F3-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG F4-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG C3-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG C4-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG P3-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG P4-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG O1-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG O2-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG F7-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG F8-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG T7-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG T8-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG P7-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG P8-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG Fz-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG Cz-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG Pz-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL E	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL PG1	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL PG2	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG A1-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG A2-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL T1	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL T2	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL ECG1	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL ECG2	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG F9-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG T9-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG P9-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG F10-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG T10-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
EEG P10-Ref	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL X9	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL X10	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL DC01	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL DC02	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL DC03	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL DC04	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL $A1	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
POL $A2	EEG	µV	0.0	100.0	ElectroEncephaloGram	200.0	good
