name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
G1	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G2	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G3	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G4	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G5	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G6	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G7	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G8	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G9	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G10	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G13	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G14	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G15	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G16	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G17	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G18	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G19	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G20	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G21	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G22	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G23	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G11	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G12	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G24	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G25	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G26	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G27	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G28	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G29	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
G30	EEG	n/a	0.0	500.0	ElectroEncephaloGram	1000.0	good
