name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
G1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G7	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G8	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G9	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G10	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G13	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G14	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G15	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G16	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G17	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G18	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G19	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G20	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G21	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G22	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G23	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G11	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G12	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G24	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G25	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G26	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G27	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G28	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G29	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G30	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G31	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
G32	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
ATT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
ATT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
ATT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
ATT4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
DC01	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad
DC09	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad
DC10	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad
DC11	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad
DC12	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad
ATT5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
ATT6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
$G11	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad
$G12	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad
ATT7	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
ATT8	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PLT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PLT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PLT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PLT4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PLT5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PLT6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
AST1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
AST2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
AST3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
AST4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PST1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PST2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PST3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PST4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
AD1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
AD2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
AD3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
AD4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PD1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PD2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PD3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
PD4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
RQ1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
RQ2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SF1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SF2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SF3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SF4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SF5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
SF6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
IF1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
IF2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
IF3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
IF4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
IF5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
IF6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
ILT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
ILT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
ILT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good
